dBZ / RGBA,Black and White,Original,Universal Blue,Titan,The Weather Channel (TWC),Meteored,NEXRAD Level III,Rainbow @ Selex SI,Dark Sky
52,#545454ff,#e62726ff,#8f0000ff,#fe8236ff,#b90000ff,#f7872eff,#e40000ff,#e30b0fff,#fffd05ff
53,#555555ff,#da1c1fff,#760000ff,#fe7626ff,#af0000ff,#f67d2cff,#d70000ff,#dc0915ff,#fffd05ff
54,#565656ff,#ce1018ff,#5d0000ff,#fe6a15ff,#a50000ff,#ed2222ff,#ca0000ff,#d6071cff,#fffd05ff
55,#575757ff,#c20511ff,#ffaaffff,#fe5f05ff,#9b0000ff,#e41f22ff,#bd0000ff,#d00523ff,#fffd05ff
56,#585858ff,#ce330fff,#ff9fffff,#fd5609ff,#960000ff,#da1c23ff,#bd0000ff,#d4043fff,#fffd05ff
57,#595959ff,#da610eff,#ff95ffff,#fd4d0eff,#910000ff,#d11a23ff,#bd0000ff,#d8035bff,#fffd05ff
58,#5a5a5aff,#e68f0cff,#ff8bffff,#fd4512ff,#8c0000ff,#c71823ff,#bd0000ff,#dc0278ff,#fffd05ff
59,#5b5b5bff,#f2bd0bff,#ff81ffff,#fd3c17ff,#870000ff,#bd1524ff,#bd0000ff,#e00094ff,#fffd05ff
60,#5c5c5cff,#ffeb0aff,#ff77ffff,#fd341cff,#820000ff,#b41323ff,#bd0000ff,#e400b1ff,#fffd05ff
61,#5d5d5dff,#ffda0bff,#ff6cffff,#f04f3cff,#7d0000ff,#aa1123ff,#ca0032ff,#e90ac0ff,#fffd05ff
62,#5e5e5eff,#ffc90cff,#ff62ffff,#e36b5cff,#780000ff,#a10f23ff,#d70065ff,#ee14d0ff,#fffd05ff
63,#5f5f5fff,#ffb90eff,#ff58ffff,#d7867dff,#730000ff,#970d22ff,#e40098ff,#f41edfff,#fffd05ff
64,#606060ff,#ffa80fff,#ff4effff,#caa29dff,#6e0000ff,#8d0c22ff,#f100cbff,#f928efff,#fffd05ff
65,#616161ff,#ff9811ff,#ffffffff,#bebebeff,#690000ff,#840a21ff,#fe00feff,#ff33ffff,#fffd05ff
66,#626262ff,#ed880eff,#ffffffff,#c2c2c2ff,#820031ff,#7a0920ff,#ea10f2ff,#ff3dffff,#fffd05ff
